
  
   Name                                                           | Size       | Percent used | Index scans | Seq scans | Unused 
  ----------------------------------------------------------------|------------|--------------|-------------|-----------|--------
   public.ai_cost_usage_daily_pkey                                | 16 kB      | 100%         | 2           | 0         | false  
   public.idx_user_training_status_unique_step                    | 16 kB      | 0%           | 0           | 0         | true   
   public.dog_env_pkey                                            | 16 kB      | 0%           | 0           | 0         | true   
   public.users_pkey                                              | 16 kB      | 100%         | 15          | 0         | false  
   public.behavior_logs_pkey                                      | 16 kB      | 100%         | 22          | 0         | false  
   public.idx_dogs_user_created_desc                              | 16 kB      | 100%         | 5           | 0         | false  
   public.idx_behavior_snapshot_user_dog_curriculum_snapshot_date | 16 kB      | 0%           | 0           | 0         | true   
   public.user_settings_pkey                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_training_sessions_dog                               | 16 kB      | 0%           | 0           | 0         | true   
   public.action_tracker_pkey                                     | 16 kB      | 100%         | 1           | 0         | false  
   public.idx_noti_history_user_id                                | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_user_training_status_user_id                        | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_noti_history_user_sent_at                           | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_action_tracker_coaching_id                          | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_user_settings_user_id                               | 16 kB      | 0%           | 0           | 0         | true   
   public.users_kakao_sync_id_key                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.dogs_pkey                                               | 16 kB      | 100%         | 38          | 0         | false  
   public.idx_training_library_lang                               | 16 kB      | 0%           | 0           | 0         | true   
   public.user_settings_user_id_key                               | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_dogs_user_id                                        | 16 kB      | 100%         | 65          | 0         | false  
   public.idx_training_library_provider                           | 16 kB      | 0%           | 0           | 0         | true   
   public.dog_env_dog_id_key                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_dogs_anonymous_sid                                  | 16 kB      | 100%         | 11          | 0         | false  
   public.idx_toss_orders_grant                                   | 16 kB      | 100%         | 14          | 0         | false  
   public.ai_cost_usage_monthly_pkey                              | 16 kB      | 0%           | 0           | 0         | true   
   public.toss_orders_pkey                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ai_cost_usage_daily_usage_date_key                      | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_logs_dog_occurred                                   | 16 kB      | 100%         | 895         | 0         | false  
   public.idx_dog_env_dog_id                                      | 16 kB      | 100%         | 161         | 0         | false  
   public.toss_orders_idempotency_key_key                         | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_training_library_category                           | 16 kB      | 0%           | 0           | 0         | true   
   public.training_behavior_snapshots_pkey                        | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_users_toss_user_key                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_behavior_logs_dog_id                                | 16 kB      | 100%         | 192         | 0         | false  
   public.idx_toss_orders_user                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_rec_user_created                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_rec_dog_window_created                              | 16 kB      | 0%           | 0           | 0         | true   
   public.training_sessions_pkey                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_behavior_logs_org                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.noti_history_pkey                                       | 16 kB      | 100%         | 1           | 0         | false  
   public.idx_rec_expires                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.training_library_slug_key                               | 16 kB      | 0%           | 0           | 0         | true   
   public.training_library_pkey                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_training_sessions_started                           | 16 kB      | 0%           | 0           | 0         | true   
   public.ai_recommendation_snapshots_pkey                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ai_cost_usage_monthly_usage_month_key                   | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_training_sessions_user                              | 16 kB      | 0%           | 0           | 0         | true   
   public.idx_behavior_snapshot_unique                            | 16 kB      | 0%           | 0           | 0         | true   
   public.user_training_status_pkey                               | 16 kB      | 0%           | 0           | 0         | true   
   public.ai_coaching_pkey                                        | 16 kB      | 100%         | 1           | 0         | false  
